cnn_sgmt_pkey,f_node_cnn_intrsctn_fkey,t_node_cnn_intrsctn_fkey,cyc_ntwrk_yn,speed_limit,pk_metered_cnt,pk_on_st_cnt,oneway_yn,daily_ride_qrt,facility_type,surface_type,sharrow,Cluster_x,Cluster_y,Score_y2,Scale_Score_y2
5465000,20895000,20900000,NO,25.0,0.0,0.0,NO,32852.0,missing,missing,missing,0.0,4.0,0.00016461471492947268,58.00053248748024
5466000,20900000,20901000,NO,25.0,0.0,0.0,NO,24404.0,missing,missing,missing,4.0,4.0,0.0001841116477322476,59.00055494554887
7804000,21736000,33348000,NO,25.0,0.0,0.0,NO,30380.5,missing,missing,missing,2.0,4.0,0.00017442274970728508,58.51758019653707
5467000,20901000,20921000,NO,25.0,0.0,19.0,NO,15788.0,missing,missing,missing,4.0,6.0,0.0004412704318869131,66.80988845512812
5468000,20921000,20912000,NO,25.0,0.0,0.0,NO,17046.0,missing,missing,missing,6.0,0.0,0.0004389352993702595,66.76248571196368
5469000,20912000,20917000,NO,25.0,0.0,0.0,NO,17588.0,missing,missing,missing,0.0,3.0,0.000424754112217607,66.46907960980305
5470000,20917000,20916000,NO,25.0,0.0,0.0,NO,16376.0,missing,missing,missing,3.0,4.0,0.0005152884727721021,68.1952720244832
5471000,20916000,20954000,NO,25.0,0.0,0.0,NO,13589.0,missing,missing,missing,4.0,6.0,0.0005615026526016182,68.96260836664446
5472000,20954000,20955000,NO,25.0,0.0,24.0,NO,15985.0,missing,missing,missing,6.0,3.0,0.0003421206433088907,64.53623911398515
5473000,20955000,20952000,NO,25.0,0.0,0.0,NO,17257.0,missing,missing,missing,3.0,2.0,0.00047039927929831774,67.38098396102401
5477000,20980000,20986000,NO,25.0,0.0,24.0,NO,16942.0,missing,missing,missing,3.0,1.0,0.00036106407582043736,65.01770936820533
5482000,25203000,25209000,NO,25.0,30.0,17.0,YES,184426.0,missing,missing,missing,4.0,0.0,6.770671077163823e-05,50.06338204478219
5483000,25209000,30078000,NO,25.0,19.0,13.0,YES,178309.0,missing,missing,missing,0.0,3.0,6.778638196697502e-05,50.07388857571837
5484000,30077000,26497000,NO,25.0,20.0,13.0,YES,168738.0,missing,missing,missing,0.0,0.0,6.802772632255266e-05,50.10564033791793
5491000,30718000,50354000,NO,25.0,0.0,0.0,NO,7157.0,missing,missing,missing,1.0,5.0,0.0006863334234089017,70.75607910644023
5485000,26497000,26503000,NO,25.0,5.0,0.0,YES,180946.0,missing,missing,missing,0.0,5.0,7.450336364987259e-05,50.917997689481425
5487000,22682000,22683000,NO,25.0,0.0,0.0,NO,27195.0,missing,missing,missing,6.0,1.0,0.00021830604832823451,60.52250910999459
5506000,25443000,25440000,NO,25.0,0.0,0.0,NO,81407.0,missing,missing,missing,4.0,0.0,0.0001824552017972929,58.9198124532048
5507000,25440000,25494000,NO,25.0,0.0,0.0,NO,86038.0,missing,missing,missing,0.0,2.0,0.00015839806423020438,57.65660609220794
5526000,26875000,26880000,NO,25.0,0.0,0.0,NO,20271.0,missing,missing,missing,4.0,5.0,0.00047392787182750956,67.44775008605677
5527000,26880000,26891000,NO,25.0,0.0,25.0,NO,12849.0,missing,missing,missing,5.0,4.0,0.0003388700881615535,64.45094977426386
5528000,26891000,26896000,NO,25.0,0.0,0.0,NO,12449.0,missing,missing,missing,4.0,4.0,0.0004812447767228011,67.58462666554196
5529000,25893000,25894000,NO,25.0,0.0,18.0,NO,59705.0,missing,missing,missing,5.0,2.0,0.00013265173176479716,56.07185935716677
5530000,25894000,25889000,NO,25.0,0.0,0.0,NO,62739.0,missing,missing,missing,2.0,4.0,0.00016867668262553946,58.21830796822573
5531000,25889000,25895000,NO,25.0,0.0,0.0,NO,62739.0,missing,missing,missing,4.0,4.0,0.00017836558065050195,58.71728437181794
5532000,25895000,25904000,NO,25.0,0.0,0.0,NO,58974.0,missing,missing,missing,4.0,5.0,0.00018423936252226066,59.006750133151755
5533000,25904000,25899000,NO,25.0,0.0,0.0,NO,63355.0,missing,missing,missing,5.0,0.0,0.00023326435826132464,61.11460369997471
5534000,25899000,25902000,NO,25.0,0.0,15.0,NO,80737.0,missing,missing,missing,0.0,2.0,0.00012273020003437867,55.37734326697711
5540000,25965000,25968000,NO,25.0,1.0,16.0,NO,85442.0,missing,missing,missing,3.0,6.0,6.892462245626487e-05,50.22265869390819
5541000,25968000,25971000,NO,25.0,11.0,21.0,NO,85039.0,missing,missing,missing,6.0,4.0,7.307970069391243e-05,50.74562865485184
5542000,25971000,25973000,NO,25.0,19.0,18.0,NO,70834.0,missing,missing,missing,4.0,2.0,6.869818212528925e-05,50.19325926559543
5543000,25973000,26044000,NO,25.0,20.0,22.0,NO,106706.0,missing,missing,missing,2.0,4.0,6.843233550818087e-05,50.15861968034156
5544000,26044000,26586000,NO,25.0,19.0,21.0,NO,98821.0,missing,missing,missing,4.0,4.0,6.823340712717408e-05,50.13261134802313
5545000,26586000,26589000,NO,25.0,20.0,19.0,NO,88173.0,missing,missing,missing,4.0,5.0,6.884541680256308e-05,50.21238618409488
5546000,26589000,26590000,NO,25.0,23.0,24.0,NO,99015.0,missing,missing,missing,5.0,5.0,7.04788125972354e-05,50.42187449658364
8185000,27056000,27104000,NO,25.0,0.0,0.0,NO,39627.0,missing,missing,missing,6.0,0.0,0.00022288091002854303,60.70779655245582
8186000,27104000,27105000,NO,25.0,0.0,0.0,NO,43466.0,missing,missing,missing,0.0,0.0,0.00016174009011522041,57.84314235267223
8187000,27105000,32840000,NO,25.0,0.0,0.0,NO,45967.0,missing,missing,missing,0.0,3.0,0.0001624724331815911,57.883503234185895
8188000,32840000,27109000,NO,25.0,0.0,0.0,NO,47034.0,missing,missing,missing,3.0,2.0,0.00017134202167989402,58.35837427159299
8189000,27109000,27110000,NO,25.0,0.0,17.0,NO,46880.0,missing,missing,missing,2.0,2.0,0.00012948915783378548,55.85628251491177
8190000,27110000,27128000,NO,25.0,0.0,0.0,NO,41523.0,missing,missing,missing,2.0,6.0,0.00018108660986078162,58.85254627122275
8191000,27128000,27130000,NO,15.0,0.0,0.0,NO,29763.0,missing,missing,missing,6.0,3.0,0.0002010653260039727,59.78752722057894
8192000,27130000,27162000,NO,15.0,0.0,0.0,NO,23077.0,missing,missing,missing,3.0,2.0,0.00018411973676647653,59.000947455786644
